                     Time       TPE
             Loop     ns       ps/el     Checksum
       ss_alias_v1  3847.6    3757.4     5093.000000 
       ss_alias_v1    79.1      77.2     5084.000977 
       ss_alias_v1    73.5      71.8     5119.999512 
       ss_alias_v1    73.7      72.0     2355.224365 
       ss_alias_v2    89.5      87.4     2355.224365 
       ss_alias_v2    76.0      74.3     2355.224365 
       ss_alias_v3    89.5      87.4     2355.224365 
       ss_alias_v3    75.8      74.0     2355.224365 
       ss_alias_v4    76.0      74.3     2355.224365 
   scale_and_shift    73.5      71.7     2355.224365 
